INFO 2020-04-03 03:03:02,043 django.server.log_message:157 - "GET /static/assets/images/dashboard/img_3.jpg HTTP/1.1" 200 33360
INFO 2020-04-03 03:03:02,044 django.server.log_message:157 - "GET /static/assets/images/dashboard/img_2.jpg HTTP/1.1" 200 21375
INFO 2020-04-03 03:03:02,379 django.server.log_message:157 - "GET /static/assets/fonts/Ubuntu/Ubuntu-Regular.woff2 HTTP/1.1" 200 99456
INFO 2020-04-03 03:03:02,381 django.server.log_message:157 - "GET /static/assets/fonts/Ubuntu/Ubuntu-Medium.woff2 HTTP/1.1" 200 90232
INFO 2020-04-03 03:03:02,382 django.server.log_message:157 - "GET /static/assets/fonts/Ubuntu/Ubuntu-Bold.woff2 HTTP/1.1" 200 84400
INFO 2020-04-03 03:03:02,383 django.server.log_message:157 - "GET /static/assets/fonts/Ubuntu/Ubuntu-Light.woff2 HTTP/1.1" 200 116192
INFO 2020-04-03 03:03:02,384 django.server.log_message:157 - "GET /static/assets/vendors/mdi/fonts/materialdesignicons-webfont.woff2?v=3.7.95 HTTP/1.1" 200 198460
INFO 2020-04-03 03:03:02,574 django.server.log_message:157 - "GET /static/assets/images/favicon.png HTTP/1.1" 200 1625
INFO 2020-04-03 03:03:05,623 django.server.log_message:157 - "GET /register HTTP/1.1" 200 22139
INFO 2020-04-03 03:04:01,951 django.server.log_message:157 - "POST /register HTTP/1.1" 302 0
INFO 2020-04-03 03:04:01,982 django.server.log_message:157 - "GET /dashboard HTTP/1.1" 200 33622
